cluster,average_rating,original_publication_year,pages,ratings_count,young-adult,fantasy,nonfiction,romance,adult,science-fiction,contemporary,mystery,classics,historical-fiction,genre_count,keywords,cluster_name
0,3.9838372093023255,2009.4418604651162,359.9325581395349,62307.46511627907,0.011627906976744186,0.018604651162790697,0.0,0.9232558139534883,1.0,0.004651162790697674,0.9302325581395349,0.06511627906976744,0.004651162790697674,0.018604651162790697,4.367441860465116,"sexy think, man sex, bed determined, chloe, standalone, billionaire, boyfriend job, playboy, chick, biker","Romantic fiction about confident, strong female characters."
1,4.003434782608696,1994.9782608695652,399.22028985507245,58260.84782608696,0.22028985507246376,0.7289855072463768,0.0014492753623188406,0.010144927536231883,0.02463768115942029,0.9884057971014493,0.010144927536231883,0.08405797101449275,0.10144927536231885,0.0391304347826087,4.994202898550725,"galaxy, skywalker, artificial, solar, interstellar, hitchhiker, jedi, galactic, yorick, nebula",Science fiction about space exploration and interstellar travel.
2,4.1258479532163745,1981.625730994152,433.5,50853.13596491228,0.0,0.9941520467836257,0.013157894736842105,0.0,0.03508771929824561,0.0,0.008771929824561403,0.029239766081871343,0.0847953216374269,0.07017543859649122,4.095029239766082,"sandman, lannister, morpork, drizzt, discworld, king fantasy, druid, elf, ankh, sorcerer","Fantasy books set in medieval-inspired, magical realms."
3,4.151689373297003,2006.032697547684,391.87193460490465,43214.17438692098,0.0,0.9809264305177112,0.0,0.9782016348773842,0.3896457765667575,0.008174386920980926,0.01634877384196185,0.08991825613079019,0.0027247956403269754,0.04087193460490463,4.463215258855586,"sookie, alpha, vamp, kresley, fae, brotherhood, shapeshifter, paranormal, stackhouse, werewolf",Paranormal romance series with supernatural themes.
4,3.9716628175519633,2008.6766743648961,316.99769053117785,59381.98614318707,1.0,0.02771362586605081,0.0,0.8637413394919169,0.018475750577367205,0.009237875288683603,0.9145496535796767,0.10392609699769054,0.011547344110854504,0.0023094688221709007,5.173210161662817,"leave school, colleen, cammie, genovia, spencer, sister boyfriend, mia, dessen, levithan, massie",Royal teen drama and coming-of-age stories.
5,3.9113333333333333,2005.5777777777778,370.0527777777778,32934.180555555555,0.0,0.05,0.002777777777777778,0.9944444444444445,0.0,0.0,0.9055555555555556,0.17777777777777778,0.016666666666666666,0.030555555555555555,5.019444444444445,"maeve, ranch, bloomwood, hockey, binchy, woman charm, mia, developer, roberts, dublin",Historical fiction about women's lives and relationships.
6,3.9619557195571953,1999.380811808118,382.82730627306273,38169.328413284136,0.047232472324723246,0.06937269372693727,0.013284132841328414,0.08044280442804429,0.04649446494464945,0.05239852398523985,0.028044280442804426,0.9837638376383764,0.061254612546125464,0.05608856088560885,6.011070110701107,"case murder, grisly, forensic, roarke, homicide, reacher, examiner, inspector, lapd, morelli",Crime fiction books about solving murders and investigations.
7,3.7443032786885246,2003.8627049180327,340.0225409836066,46069.19672131148,0.09221311475409837,0.04918032786885246,0.006147540983606557,0.004098360655737705,0.16393442622950818,0.012295081967213115,0.9610655737704918,0.12295081967213115,0.03278688524590164,0.07377049180327869,3.7581967213114753,"palahniuk, young alice, zadie, fatherhood, baltimore, auster, mother grief, achingly, bret, picoult","Literary fiction exploring themes of family, grief, and social commentary."
8,4.095008103727714,1998.9611021069693,347.4781199351702,97582.35980551054,1.0,0.9092382495948136,0.009724473257698542,0.0,0.012965964343598054,0.06482982171799027,0.012965964343598054,0.12479740680713128,0.08589951377633712,0.04862236628849271,4.364667747163695,"shan, percy, potter, baudelaire, thunderclan, lemony, wizarde, hogwart, redwall, snicket",Fantasy books about magical adventures and coming-of-age stories.
9,3.960900321543408,1912.1736334405145,387.29260450160774,108551.86495176848,0.2508038585209003,0.0707395498392283,0.012861736334405145,0.07395498392282958,0.012861736334405145,0.01607717041800643,0.01929260450160772,0.05787781350482315,1.0,0.9967845659163987,4.061093247588424,"ingall, explanatory, penguin, steinbeck, compassionate, almanzo, community write, bellow, chronology, magnificently",Historical nonfiction about rural American life and community.
10,4.057107023411372,2008.9916387959865,377.31939799331104,71303.34615384616,0.9966555183946488,0.9431438127090301,0.0,0.9966555183946488,0.006688963210702341,0.14214046822742474,0.015050167224080268,0.051839464882943144,0.0016722408026755853,0.051839464882943144,5.2675585284280935,"maxon, yuki, stefan, zoey, shadowhunter, rule vampire, immortal love, faery, faerie, werewolf",Fantasy romance with supernatural creatures and immortal love.
11,4.013673769287289,1978.1028655400441,337.5495958853784,35507.34459955915,0.015429831006612785,0.0036737692872887582,0.9867744305657604,0.00440852314474651,0.024981631153563555,0.0007347538574577516,0.0007347538574577516,0.002204261572373255,0.06245407788390889,0.002204261572373255,4.863335782512858,"cookbook, candid, ceo, thinker, management, anecdote, landmark book, autobiography, nonfiction, biography","Nonfiction about leadership, personal growth, and professional experiences."
